reviewPriority,reviewBatch,playerKey,playerName,classicRole,mantraRoles,realTeam,realTeamOriginal,fantacalcioId,quotationCurrent,fvm,fantasyRoster,fbrefSearchQuery,fbrefSearchUrl,fbrefId,fbrefName,fbrefUrl,matchStatus,confidence,notes
"107","batch-03","fc-2489","Pedro","A","A","LAZ","Lazio","2489","16","20","Beetlejuice","Pedro Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Pedro%20Lazio%20fbref","","","","needs-review","",""
"108","batch-03","fc-6989","Tiago Gabriel","D","Dc","LEC","Lecce","6989","10","25","Beetlejuice","Tiago Gabriel Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Tiago%20Gabriel%20Lecce%20fbref","","","","needs-review","",""
"109","batch-03","fc-5862","Valeri","D","Ds/E","PAR","Parma","5862","11","22","Real Pisistrius","Valeri Parma fbref","https://fbref.com/en/search/search.fcgi?search=Valeri%20Parma%20fbref","","","","needs-review","",""
"110","batch-03","fc-761","Audero","P","Por","CRE","Cremonese","761","12","11","Olympic Salerno  FC","Audero Cremonese fbref","https://fbref.com/en/search/search.fcgi?search=Audero%20Cremonese%20fbref","","","","needs-review","",""
"111","batch-03","fc-309","Dybala","A","A","ROM","Roma","309","13","50","Real Pisistrius","Dybala Roma fbref","https://fbref.com/en/search/search.fcgi?search=Dybala%20Roma%20fbref","","","","needs-review","",""
"112","batch-03","fc-7162","Giovane","A","A","NAP","Napoli","7162","13","8","Real Pisistrius","Giovane Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Giovane%20Napoli%20fbref","","","","needs-review","",""
"113","batch-03","fc-4807","Hermoso","D","Dc","ROM","Roma","4807","13","25","real mappine","Hermoso Roma fbref","https://fbref.com/en/search/search.fcgi?search=Hermoso%20Roma%20fbref","","","","needs-review","",""
"114","batch-03","fc-2529","Mkhitaryan","C","C/T","INT","Inter","2529","14","14","Afc Severgas Baronissi","Mkhitaryan Inter fbref","https://fbref.com/en/search/search.fcgi?search=Mkhitaryan%20Inter%20fbref","","","","needs-review","",""
"115","batch-03","fc-6552","Orban G.","A","Pc","VER","Verona","6552","14","15","As Paperopoli","Orban G Verona fbref","https://fbref.com/en/search/search.fcgi?search=Orban%20G%20Verona%20fbref","","","","needs-review","",""
"116","batch-03","fc-2077","Pasalic","C","C/T","ATA","Atalanta","2077","12","14","Beetlejuice","Pasalic Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Pasalic%20Atalanta%20fbref","","","","needs-review","",""
