playerKey,playerName,classicRole,mantraRoles,realTeam,fantacalcioId,fbrefName,fbrefUrl,matchStatus,notes
"fc-2273","Caracciolo A.","D","Dc","PIS","2273","","","unmapped",""
"fc-791","Sabelli","D","Dd/Ds/E","GEN","791","","","unmapped",""
"fc-770","Pezzella Giu.","D","Ds/E","CRE","770","","","unmapped",""
"fc-513","Acerbi","D","Dc","INT","513","","","unmapped",""
"fc-327","Patric","D","Dd/Dc","LAZ","327","","","unmapped",""
"fc-294","Rugani","D","Dc","FIO","294","","","unmapped",""
"fc-256","Juan Jesus","D","Ds/Dc","NAP","256","","","unmapped",""
"fc-7332","Bijlow","P","Por","GEN","7332","","","unmapped",""
"fc-218","Perin","P","Por","JUV","218","","","unmapped",""
"fc-7349","Kulenovic","A","Pc","TOR","7349","","","unmapped",""
"fc-7316","Durosinmi","A","Pc","PIS","7316","","","unmapped",""
"fc-7313","Ratkov","A","Pc","LAZ","7313","","","unmapped",""
"fc-7128","Kuhn","A","W/A","COM","7128","","","unmapped",""
"fc-7127","Addai","A","W/A","COM","7127","","","unmapped",""
"fc-6836","Meister","A","Pc","PIS","6836","","","unmapped",""
"fc-6643","Dallinga","A","Pc","BOL","6643","","","unmapped",""
"fc-5672","Dia","A","Pc","LAZ","5672","","","unmapped",""
"fc-7246","Sala A.","C","C","LEC","7246","","","unmapped",""
"fc-6984","Ondrejka","C","W/A","PAR","6984","","","unmapped",""
"fc-6889","Anjorin","C","C/T","TOR","6889","","","unmapped",""
"fc-6206","Fabbian","C","C/T","FIO","6206","","","unmapped",""
"fc-6170","Gineitis","C","C","TOR","6170","","","unmapped",""
"fc-6015","Berisha M.","C","C/T","LEC","6015","","","unmapped",""
"fc-5998","Zerbin","C","E/W","CRE","5998","","","unmapped",""
"fc-5850","Lovric","C","C","VER","5850","","","unmapped",""
"fc-5610","Vranckx","C","M/C","SAS","5610","","","unmapped",""
"fc-5540","Niasse","C","M/C","VER","5540","","","unmapped",""
"fc-4890","Tameze","C","M/C","TOR","4890","","","unmapped",""
"fc-2839","Sottil","C","W/A","LEC","2839","","","unmapped",""
"fc-7356","Mlacic","D","Dc","UDI","7356","","","unmapped",""
"fc-7260","Ziolkowski","D","Dc","ROM","7260","","","unmapped",""
"fc-7211","Athekame","D","Dd/E","MIL","7211","","","unmapped",""
"fc-7125","Idrissi R.","D","Ds/E","CAG","7125","","","unmapped",""
"fc-7069","Fortini","D","E","FIO","7069","","","unmapped",""
"fc-6977","Otoa","D","Dc","GEN","6977","","","unmapped",""
"fc-6039","Cabal","D","B/Ds/E","JUV","6039","","","unmapped",""
"fc-5820","Bertola","D","Dc","UDI","5820","","","unmapped",""
"fc-5498","Casale","D","Dc","BOL","5498","","","unmapped",""
"fc-4263","Kabasele","D","Dc","UDI","4263","","","unmapped",""
"fc-2728","Pellegrini Lu.","D","Ds/E","LAZ","2728","","","unmapped",""
"fc-2263","Lazzari","D","Dd/E","LAZ","2263","","","unmapped",""
"fc-612","Bianchetti","D","Dc","CRE","612","","","unmapped",""
"fc-322","De Vrij","D","Dc","INT","322","","","unmapped",""
"fc-5320","Paleari","P","Por","TOR","5320","","","unmapped",""
"fc-7249","Buksa","A","Pc","UDI","7249","","","unmapped",""
"fc-7183","Aboukhlal","A","A","TOR","7183","","","unmapped",""
"fc-7162","Giovane","A","A","NAP","7162","","","unmapped",""
"fc-7161","Bayo V.","A","Pc","UDI","7161","","","unmapped",""
"fc-6895","Dominguez B.","A","W/A","BOL","6895","","","unmapped",""
"fc-6822","Ekhator","A","A","GEN","6822","","","unmapped",""
"fc-6675","Dovbyk","A","Pc","ROM","6675","","","unmapped",""
"fc-6630","Mosquera","A","Pc","VER","6630","","","unmapped",""
"fc-6519","Camarda","A","Pc","LEC","6519","","","unmapped",""
"fc-6314","Openda","A","Pc","JUV","6314","","","unmapped",""
"fc-6159","Sarr A.","A","A","VER","6159","","","unmapped",""
"fc-5471","Djuric","A","Pc","CRE","5471","","","unmapped",""
"fc-7276","Cremaschi","C","C","PAR","7276","","","unmapped",""
"fc-7254","Lorran","C","T","PIS","7254","","","unmapped",""
"fc-7157","Iannoni","C","C","SAS","7157","","","unmapped",""
"fc-7149","Marin M.","C","M/C","PIS","7149","","","unmapped",""
"fc-7132","Collocolo","C","M/C","CRE","7132","","","unmapped",""
"fc-6481","Payero","C","C","CRE","6481","","","unmapped",""
"fc-6246","Lipani","C","M/C","SAS","6246","","","unmapped",""
"fc-6005","Ilkhan","C","C/T","TOR","6005","","","unmapped",""
"fc-5561","Stengs","C","W/T","PIS","5561","","","unmapped",""
"fc-5290","Estevez","C","M/C","PAR","5290","","","unmapped",""
"fc-5007","Ilic","C","C","TOR","5007","","","unmapped",""
"fc-4711","Kostic","C","E/W","JUV","4711","","","unmapped",""
"fc-4459","Rovella","C","M/C","LAZ","4459","","","unmapped",""
"fc-27","Grassi","C","M/C","CRE","27","","","unmapped",""
"fc-7335","Zatterstrom","D","Dc","GEN","7335","","","unmapped",""
"fc-7325","Bozhinov","D","Dc","PIS","7325","","","unmapped",""
